,id,text,label,gpt_response,perspective_response,perspective_error,gpt_response_txt,perspective_response_bin
0,1165,@user @user @user @user @user Wow! Attention whore and he stole Wes's Bitch…,0,1,0.8060606,, True,1
1,437,"More than 65 million strong, and growing.#DeportThemAll#RevokeIllegalCitizenship#RevokeIllegalNaturalization#DeportAllIllegals#DeNaturalization#SendThemHome",1,1,0.26690558,, True,0
2,2671,"Media Blackout: Miami Serial Killer Turns Out To Be An Illegal Alien @user @user @user @user #NoAmnestyEver#DeportThemAll It is not worth the public safety to even consider an Amnesty, there is far to great a risk",1,0,0.15959916,,"

False",0
3,1027,I must be a cunt or some fucking horrible person to get treated to way I do by some people. I should just change and be a ruthless bitch,0,1,0.6410126,, True,1
4,164,Why do you brake a lot 😂 bitch it's called putting gears in hoe,1,0,0.11934204,, False,0
5,1212,@user She called me a bitch and doesn't even know me wtf you expect? I ain't gonna play nice I don't even know the hoe 😂,1,1,0.98401433,, True,1
6,1200,Get rid of #IllegalAliens build the wall!!!!,1,0,0.93232936,, False,1
7,1942,"@user @user This refers 2 a favorable political effort by GOOGLE 2 DEM Party's Pres. candidate - they were surprised that ""sure-fire"" voters they gave rides 2 didn't ALL vote 4 their woman! They expected it, like the Blacks used 2 do, but began 2 wake up. Next up? MUSLIMS!#StopTheIn",0,0,0.58842784,,"

False",1
8,1380,"I #stress How long before there becomes here? With no assimilating, open borders and the diluting of American #values and #culture. America is becoming there! @user @user @user @user @user @user #BuildThatWall #MAGA @user #BuildTheWall #Purge",1,1,0.17602158,, True,0
9,2937,"@user Seems it takes a 2/3 vote to do that, and the Dems won't do it.#BuyFromInAndOut #InternetBillOfRights #DarkLeft #WalkAway #ReinstateRobynGritz #JimJordan4Speaker #2A #DefundPP #ChainDeportation #BuildThatWall #NationalReciprocity #1A #FreeJulian #BoycottNFL",0,1,0.94992846,, True,1
10,1845,"At this point, we CAN and we SHOULD should prosecute #SanctuaryCity mayors & Governors under #8USC1324. #tcot #illegalAliens #thewall #SanctuaryCities #SanctuaryState #Trump #KateSteinle #KatesWall #ICE #KatesLaw #DACA #DreamAct #DREAMers #DHS #DOJ",0,1,0.9747289,, True,1
11,266,@user they couldn't deal with his hair. too vegas bitch. vegas whore teas were spilt.,0,1,0.53490317,, True,1
12,1102,Hey @user when you went down to the border did you see the children that were separated from their HUMAN TRAFFICKERS? Of course you did but youre not honest enough to admit it. Because #DemocratsAreSociopaths #StopTheInvasion#DeportThemAll#NoAmnesty#BuildTheWall,1,0,0.061828613,, False,0
13,1237,Dems suggest Kavanaugh should NOT be considered for SCOTUS b/c #Trump is under investigation!NEVER MIND that said investigation is a TRUMPed-up phony witch-hunt begun by Dems in the 1st place#POTUS #MAGA #DrainTheSwamp #VoteRed #NEWS #NoDACA #KAG #GetOutTheVote #BuildTheWall,0,0,0.31089434,, False,0
14,1457,@user @user @user Don't be such a shill. #WalkAwayFromDemocrats #DemocratsHateAmerica #GodBlessPOTUSTrump #GodBlessFLOTUSMelania #GodBlessAmerica #KeepAmericaGreat #Trump2020 #Winning #BuildThatWall #USA,0,1,0.8922401,, True,1
15,57,"""Please don't call it """"rescue"""" - it's human trafficking #portsclosed #sendthemback #benefitseekers""",1,1,0.6352246,, True,1
16,2035,I Can Fuck Any Bitch I Want But It Not About That At The End Of The Day. I'm Way Passed The Hittin Hella Whores Stage.,1,1,0.9831535,, True,1
17,2454,IM GONNA BUY BTS X PUMA SHOES THE FIRST TWEET I SAID BYE BITCH IM',0,1,0.32601207,, True,0
18,2002,Now who tf could be jealous of any bitch that fucked w| Mazi?! Hoe you sick.,1,1,0.94992846,, True,1
19,21,"Whenever HP is on I have this sick need to watch it & bitch the whole time.   Scene that grind my gears:  ""HARRY DID U PUT UR NAME IN GOF!?""📢",0,0,0.9069883,, False,1
20,2342,"Im going to explode if I have to listen to these entitled, privileged cunts bitch for ONE MORE SECOND about their inconvenient FREE flights",1,1,0.10689077,, True,0
21,1052,@user Its time to give hunting licenses to border homes and make it year round open season on this invading force! Free guns and ammo to those willing to defend our borders!!! #BuildThatWall #BuildThatDamnWallNow,1,0,0.22332919,, False,0
22,1113,@user @user @user Thx.I AM the #silent majority. I'm hearing the same rhetoric from #Trump as any other #politician.More time needed or the world will fall apart.The public has short memories & politicians count on it. #Buildthatwall,0,0,0.5876557,, False,1
